BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
7451.23;561.74;0.2;0.09;157.57
7380.85;555.35;0.21;0.1;154.57
7460.17;571.73;0.22;0.11;155.37
7487.08;573.83;0.22;0.1;157.11
7567.51;583.13;0.23;0.1;161.44
7639.88;609.29;0.23;0.1;168.07
7463.65;586.58;0.21;0.1;159.72
7569.01;600.68;0.22;0.1;166.41
7605.58;598.22;0.22;0.1;163.84
7613.78;595.13;0.21;0.1;162.86
7561.17;590.5;0.2;0.1;157.46
7415;581.12;0.2;0.1;153.36
6767.5;523;0.18;0.1;139.24
6880.13;529.13;0.18;0.1;137.98
6581.83;495.08;0.17;0.09;125.94
6334.1;474.86;0.16;0.1;121.36
6644.72;516.64;0.17;0.1;132.83
6406.81;485.43;0.16;0.1;122.47
6478.82;493.07;0.16;0.1;126.33
6418.85;491.4;0.16;0.11;122.99
6677.53;512.43;0.16;0.11;126.62
6708.68;532;0.17;0.1;125.66
6714.38;529.76;0.16;0.1;122.11
6690.83;520.67;0.16;0.1;123.01
6088.58;463.94;0.14;0.1;111.07
6169.44;472.98;0.14;0.09;115.62
6159.71;455.72;0.13;0.1;121.26
6241.85;458.93;0.14;0.1;126.72
6069.87;430.6;0.13;0.09;120.53
6117.04;437.88;0.13;0.09;128.44
5879.99;420.86;0.12;0.09;115.8
6182.26;432.51;0.13;0.08;126.59
6366.5;449.43;0.14;0.09;130.9
6312.88;447.68;0.14;0.09;128.55
6595.55;472.31;0.15;0.09;139.88
6497.61;459.7;0.15;0.17;138.3
6562.72;463.22;0.15;0.11;138.56
6537.74;466.88;0.15;0.1;138.41
6603.29;467.59;0.15;0.1;133.99
6759.84;481.52;0.15;0.1;134.31
6700.64;483.8;0.15;0.1;137.85
6648.26;469.7;0.14;0.1;135.33
6303.38;431.76;0.13;0.09;121.22
6373.23;443.03;0.13;0.1;124.72
6230.59;427.79;0.13;0.09;120.16
6248.4;431.27;0.14;0.09;122.15
6246.14;431.78;0.14;0.09;122.82
6349.7;446.61;0.14;0.09;123.66
6741.69;478.21;0.16;0.1;134.67
7303.37;497.18;0.17;0.12;143.65
7334.77;475.99;0.18;0.12;138.94
7442.8;464.79;0.18;0.12;139.71
7331.87;447.2;0.16;0.12;129.96
7379.14;458.08;0.16;0.13;131.81
7395.87;455.53;0.17;0.14;128.7
7705;447.92;0.16;0.13;133.49
8422.37;477.21;0.17;0.13;146.65
8144.55;468.74;0.17;0.14;142.38
7929.08;460.87;0.16;0.13;136.52
8145.33;467.96;0.17;0.13;140.28
8192.14;465.9;0.16;0.13;139.51
8197.59;466.42;0.16;0.13;135.2
8185.92;458.08;0.15;0.12;131.91
7738.25;432.35;0.14;0.11;122.29
7612.3;417.28;0.14;0.11;128.37
7540.63;410.93;0.13;0.1;122.54
7411.67;417.36;0.13;0.1;120.14
7009.01;406.88;0.13;0.09;113.85
7036.61;409.16;0.13;0.1;117.28
6926.12;404.82;0.13;0.09;113.59
6711.73;377.75;0.13;0.09;107.7
6259.53;353.65;0.11;0.08;94.27
6531.25;363.69;0.12;0.09;100.2
6166.59;332.49;0.12;0.08;91.39
6205.22;317.31;0.11;0.07;92.98
6318.41;317.96;0.11;0.06;93.31
6284;284.96;0.1;0.07;88.02
6212.23;277.75;0.09;0.07;84.14
6267.77;281.14;0.09;0.08;89.21
6309.39;286.32;0.1;0.07;90.94
6566.72;314.79;0.11;0.08;98.93
6382.06;293.18;0.1;0.07;98
6475.49;299.44;0.1;0.07;98.34
6242.88;271.06;0.09;0.06;93.95
6467.27;280.37;0.09;0.07;94.72
6336.66;269.25;0.09;0.07;89.82
6521.07;275.81;0.09;0.07;89.93
