BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
8079.93;177.48;0.04;0.03;56.31
7957.31;172.89;0.04;0.03;54.41
7949.8;171.85;0.04;0.03;56.42
8208.36;175.21;0.04;0.03;57.7
8220.92;174.35;0.04;0.03;56.63
8045.29;171.43;0.04;0.03;52.87
7468.53;161.58;0.04;0.03;53.36
7433.92;160.68;0.04;0.03;58.9
8652.03;181.45;0.04;0.03;56.65
9217.24;179.54;0.04;0.03;59.56
9502.02;183.58;0.04;0.03;59.32
9239.9;181.86;0.04;0.03;59.53
9407.16;190.51;0.04;0.03;58.3
9171.87;183.13;0.04;0.03;59.01
9151.82;182.76;0.04;0.03;60.71
9233.41;183.06;0.04;0.03;62.21
9302.83;183.22;0.04;0.03;63.17
9204.29;181.82;0.04;0.03;63.02
9378.95;185.76;0.04;0.03;62.75
9300.37;189.17;0.04;0.03;64.03
9340.05;191.3;0.04;0.03;63.18
9221.07;186.82;0.04;0.03;60.74
8795.9;183.67;0.04;0.03;62.16
8809.78;184.96;0.04;0.03;63.96
9043.67;189.04;0.04;0.03;61.7
8729.92;184.84;0.04;0.03;62.26
8806.75;186.87;0.04;0.03;65.08
8770.78;187.84;0.04;0.03;65.1
8652.03;184.79;0.04;0.03;61.93
8480.44;180.17;0.04;0.03;61.62
8496.38;182.63;0.04;0.03;61.71
8508.5;183.99;0.05;0.03;58.68
8202.83;178.39;0.04;0.03;58.48
8138.83;175.82;0.04;0.03;57.86
8095.87;174.8;0.04;0.02;54.11
7632.49;161.15;0.04;0.02;51.27
7293.01;149.93;0.04;0.02;51.63
7309.69;151.97;0.04;0.02;47.6
6935.74;140.25;0.04;0.02;50.12
7118.26;146.35;0.04;0.02;51.27
7157.68;147.58;0.04;0.03;55.71
7483.75;152.62;0.04;0.03;53.89
7438.62;150.91;0.04;0.03;55.7
7720.87;154.26;0.04;0.02;54.76
7556.4;151.74;0.04;0.02;53.48
7405.81;151.02;0.04;0.02;53.96
7308.98;148.87;0.04;0.02;53.29
7286.08;147.13;0.04;0.02;52.63
7209.97;145.4;0.04;0.03;53.53
7373.78;147.8;0.04;0.03;54.18
7530.92;148.61;0.04;0.03;54.27
7493.55;147.15;0.04;0.03;53.82
7508.32;150.29;0.04;0.03;53.76
7347.04;147.43;0.04;0.03;52.64
7233.95;145.57;0.04;0.03;52.89
7197.43;143.12;0.04;0.03;53.05
7200.71;145.03;0.04;0.03;52.43
7247.35;144.62;0.04;0.03;51.27
7081.74;141.84;0.04;0.03;50.68
7108.56;142.21;0.04;0.03;49.22
6901.04;132.72;0.03;0.03;45
6627.16;121.77;0.03;0.03;47.79
7274.77;132.74;0.03;0.03;47.44
7152.56;128.08;0.03;0.03;46.74
7185.44;128.27;0.03;0.03;45.18
7141.55;126.93;0.03;0.03;47.4
7488.2;132.18;0.03;0.03;47.19
7335.21;128.17;0.03;0.03;45.91
7266.61;127.73;0.03;0.03;46.04
7204.18;125.02;0.03;0.03;45.22
7208.49;125.61;0.03;0.03;45.06
7247.62;126.33;0.03;0.03;45.49
7307.89;128.07;0.03;0.03;46.58
7394.03;134.32;0.03;0.03;46.03
7240.43;131.46;0.03;0.03;44.59
7195.15;129.19;0.03;0.03;45.78
7193.75;130.48;0.03;0.03;45.34
6963.85;127.05;0.03;0.04;50.85
7300.35;133.7;0.03;0.04;50.29
7351.38;134.14;0.03;0.04;53.6
7349.97;135.01;0.03;0.03;58.83
7734.68;143.81;0.04;0.03;58.6
8147.42;143.02;0.04;0.03;59.28
8045.79;140.27;0.04;0.03;58.84
7832.8;137.86;0.04;0.03;58.54
8180.51;144.6;0.04;0.03;58.22
8012.09;142.18;0.04;0.03;59.15
8171.4;145.42;0.04;0.03;57.83
8110.65;143.59;0.04;0.04;62.8
8801.87;165.99;0.04;0.04;68.39
8820.85;166.25;0.04;0.04;65.64
8720.92;163.81;0.04;0.04;69.08
8902.57;171.16;0.04;0.04;67.15
8906.9;174.24;0.04;0.03;65
8690.38;166.63;0.04;0.03;64.91
8631.25;166.94;0.04;0.03;65.89
8724.82;169.28;0.05;0.03;64.92
8665.44;167.83;0.05;0.03;62.27
8415.96;162.52;0.04;0.03;61.65
8432.1;162.41;0.04;0.04;61.53
8348.67;160.67;0.04;0.04;63.74
8595.73;167.65;0.04;0.04;65.37
8879.34;169.74;0.05;0.04;67.65
9320.81;175.19;0.05;0.04;69.75
9276.89;173.71;0.05;0.04;74.8
9509.81;184.73;0.06;0.04;71.87
9308.06;179.23;0.05;0.04;73.09
9363.22;183.34;0.06;0.04;74.65
9338.42;188.55;0.06;0.04;76.86
9308.91;189.86;0.06;0.04;75.09
9179.96;188.84;0.06;0.05;77.61
9592.18;203.86;0.06;0.05;78.1
9744.64;212.73;0.06;0.06;79.63
9799.45;223.28;0.06;0.06;80.86
9890.7;223.3;0.06;0.06;87.12
10148.38;228.29;0.06;0.06;84.81
9890.12;224.15;0.06;0.06;89.93
10226.93;236.79;0.06;0.06;94.99
10328.9;264.03;0.07;0.06;92.6
10221.26;267.67;0.07;0.06;94.79
10320.16;284.23;0.07;0.06;88.55
9894.14;263.9;0.06;0.06;89.02
9943.67;262.16;0.06;0.07;82.65
9723.61;267.94;0.06;0.06;86.02
10133.82;281.95;0.06;0.05;78.15
9618.41;259.18;0.06;0.06;76.55
9608.17;257.99;0.06;0.05;80.22
9673.01;265.16;0.06;0.06;78.92
9658.61;261;0.06;0.05;85.05
9946.72;274.63;0.06;0.04;79.27
9670.96;265.24;0.06;0.04;76.97
9345.34;248.32;0.06;0.04;70.7
8801.66;224.81;0.05;0.04;69.92
8781.18;225.43;0.05;0.04;68.64
8717.33;227.71;0.05;0.04;66.12
8552.99;218.35;0.05;0.04;64.63
8567.8;218.94;0.05;0.04;68.79
8905.88;231.68;0.05;0.05;65.92
8756.72;223.96;0.05;0.05;65.79
8758.65;224.13;0.05;0.05;68.51
9038.87;228.08;0.05;0.04;68.95
9135.85;244.24;0.05;0.04;65.7
8902.2;237.38;0.05;0.04;56.33
8041.37;198.82;0.04;0.04;55.56
7921.33;200.85;0.04;0.04;54.94
7906.73;200.75;0.04;0.02;54.25
7935.52;194.22;0.04;0.02;32.51
5142.99;110.6;0.02;0.02;36.83
5542.82;132.57;0.03;0.03;36.15
5214.19;123.03;0.03;0.02;38
5397.93;124.6;0.03;0.02;34.11
5032.5;110.99;0.02;0.02;36.46
5389.42;117.22;0.03;0.03;36.84
5376.28;117.7;0.03;0.02;40.91
6170.2;136.81;0.03;0.02;40.12
6195.6;131.96;0.03;0.02;41.1
6145.77;131.94;0.03;0.03;38.28
5859.65;122.52;0.03;0.03;44.4
6456.35;135.59;0.03;0.03;47.31
6730.17;138.78;0.03;0.03;47.11
6695.9;136.23;0.03;0.02;50.61
6765.56;138.77;0.03;0.02;47.46
6397.83;130.29;0.03;0.02;47.29
6255;131.42;0.03;0.03;44.2
5915.34;125.32;0.03;0.03;46.62
6403.14;132.36;0.03;0.03;47.87
6421.71;133.24;0.03;0.03;48.64
6640.8;136.22;0.03;0.03;50.87
6807.9;141.45;0.03;0.03;52.91
6732.85;141.26;0.03;0.03;54.17
6859.42;144.2;0.03;0.03;53.4
6788.05;142.85;0.03;0.03;58.48
7297.64;169.86;0.04;0.03;55.91
7196.78;164.52;0.04;0.03;57.8
7342.29;172.8;0.04;0.03;58.46
7294.49;170.1;0.04;0.03;53.72
6864.69;157.74;0.03;0.03;53.86
6878.78;158.33;0.03;0.03;53.7
6913.16;158.86;0.03;0.03;53.1
6857.54;156.7;0.03;0.03;54.16
6860.18;158.27;0.03;0.03;53.17
6629.43;153.22;0.03;0.03;56.66
7059.93;171.78;0.03;0.03;56.12
7035.26;170.45;0.03;0.03;58.02
7242.51;187.14;0.04;0.03;57.18
7127.51;180.06;0.04;0.03;54.91
6856.46;170.7;0.03;0.03;55.1
6842.04;170.45;0.03;0.03;56.87
7110;182.28;0.04;0.03;58.67
7382.79;184.59;0.04;0.03;60.68
7495.39;187.34;0.04;0.03;60.49
7538.56;194.11;0.04;0.03;61.35
7683.87;197.23;0.05;0.03;62.3
7774.28;196.46;0.05;0.03;62.19
7758.23;197.15;0.05;0.03;66.2
8744.43;215.55;0.05;0.03;62.08
8610.64;205.56;0.05;0.04;63.18
8824.82;211.97;0.05;0.04;64.47
8966.31;213.94;0.05;0.03;62.42
8888.67;210.02;0.05;0.04;61.05
8884.41;206.83;0.05;0.03;60.4
9003.24;205.23;0.05;0.04;58.28
9144.69;200.25;0.05;0.04;64.56
9959.17;212.29;0.05;0.04;63.23
9821.81;211.69;0.05;0.03;63.1
9566.78;210.43;0.05;0.03;58.88
8752.62;188.14;0.05;0.04;59.41
8604.75;185.67;0.05;0.04;61.47
8788.47;189.31;0.05;0.04;64.93
9283.09;199.37;0.05;0.04;65.2
9796.49;203.21;0.05;0.04;62.62
9309.3;194.27;0.05;0.04;65.13
9375.3;200.58;0.05;0.04;65.08
9666.33;206.77;0.05;0.04;66.84
9708.44;214.36;0.05;0.04;66.69
9760.2;213.69;0.06;0.04;64.64
9526.51;209.92;0.06;0.04;61.47
9059.96;198.92;0.05;0.04;62.95
9131.77;206.23;0.05;0.04;63.43
9170.36;206.41;0.06;0.04;60.62
8731.85;200.69;0.05;0.04;61.44
8883.69;203.81;0.05;0.04;61.83
8839.13;200.96;0.05;0.04;64.5
9174.12;207.85;0.06;0.04;67.09
9546.05;219.59;0.06;0.04;66.05
9427.12;220.49;0.06;0.04;68.29
9662.71;242.71;0.08;0.04;65.1
9466.96;232.33;0.07;0.04;67.78
10167.93;248.04;0.08;0.04;66.53
9515.24;237.27;0.08;0.04;67.07
9645.23;244.13;0.08;0.04;68.68
9776.2;243.71;0.09;0.04;67.36
9636.97;240.25;0.09;0.04;67.7
9662.86;242.02;0.09;0.04;66.41
9738.6;244.23;0.09;0.04;68.25
9773.03;246.21;0.09;0.04;68.07
9767.01;243.85;0.08;0.04;69.59
9874.9;247.54;0.08;0.04;63.94
9326;232;0.08;0.04;65.71
9469.53;237.59;0.08;0.04;66.53
9469.47;238.29;0.08;0.04;65.47
9345.96;232.11;0.08;0.04;64.61
9431.72;231.02;0.08;0.04;65.91
9524.93;235.29;0.08;0.04;65.23
9463.36;233.86;0.08;0.04;64.95
9399.77;231.68;0.08;0.04;64.14
9312.78;228.96;0.08;0.04;63.98
9360.25;228.87;0.08;0.05;64.43
9298.36;227.79;0.08;0.04;66.09
9678.68;243.36;0.08;0.04;66.8
9624.68;243.08;0.08;0.04;64.78
9288.06;234.56;0.08;0.04;64.34
9258.67;232.65;0.08;0.04;64.03
9166.49;229.64;0.08;0.04;62.14
9013.91;221.03;0.08;0.04;63.25
9139.9;225.12;0.08;0.04;64.13
9185.17;228.21;0.08;0.04;63.61
9149.72;225.59;0.08;0.04;64.57
9230.67;230.66;0.1;0.04;65.36
9094.32;226.57;0.09;0.04;62.68
9071.39;225.18;0.1;0.04;64.12
9132.91;229.09;0.1;0.04;63.31
9087.41;227.9;0.1;0.04;64.88
9342.38;241.53;0.11;0.04;64.51
9253.63;238.96;0.12;0.04;66.23
9432.17;246.86;0.13;0.04;67.43
9235.72;241.98;0.12;0.04;67.39
9282.91;240.95;0.12;0.04;68.67
9234.31;239.1;0.13;0.04;69.25
9297.48;241.77;0.13;0.04;69.19
9240.76;239.64;0.12;0.04;67.94
9247.06;240.25;0.13;0.04;70.8
9203.37;238.66;0.13;0.04;67.61
9136.48;233.84;0.13;0.04;67.65
9156.28;232.78;0.12;0.04;68.32
9168.4;235.68;0.12;0.04;68.85
9202.62;238.9;0.12;0.05;69.32
9163.16;236.06;0.12;0.05;69.78
9384.38;245.23;0.12;0.05;71.32
9514.3;263.76;0.12;0.05;72.99
9589.82;274.72;0.12;0.05;71.66
9535.94;279.43;0.12;0.04;73.55
9691.83;305.04;0.14;0.04;78.05
9925.75;310.52;0.15;0.04;78.16
10962.26;320.48;0.14;0.05;81.23
10904.92;316.41;0.15;0.05;79.11
11093.61;317.54;0.14;0.05;81.23
11116.31;334.74;0.14;0.05;84.58
11325.55;346;0.14;0.04;89.7
11812.09;387.94;0.14;0.05;85.04
11066.31;370.73;0.13;0.05;89.16
11230.91;386.25;0.14;0.05;87.25
11181.92;389.38;0.14;0.06;90.19
11719.26;400.18;0.14;0.07;96.06
11768.13;394.54;0.14;0.1;93.64
11571.49;379.14;0.14;0.1;94.76
11739.13;391.48;0.15;0.1;92.88
11682.85;389.62;0.14;0.09;93.61
11862.94;395.21;0.14;0.1;87.46
11398.67;379.17;0.14;0.09;89.76
11579.87;387.5;0.14;0.09;92.13
11817.16;427.49;0.14;0.1;91.54
11777.39;438.76;0.14;0.1;89.93
11864.91;432.65;0.14;0.09;91.23
11901.78;433.43;0.14;0.09;93.26
12272.47;430.03;0.14;0.08;93.28
11949.61;422.11;0.14;0.09;91.2
11733.28;406.57;0.13;0.09;101.3
11861.84;416.47;0.13;0.1;92.23
11515.12;386.82;0.12;0.09;94.77
11676.39;395.89;0.13;0.09;91.21
11647.93;390.79;0.12;0.09;93.8
11758.83;408.27;0.12;0.09;88.69
11350.75;383.66;0.11;0.09;88.95
11465;385.75;0.11;0.11;89.53
11300.4;381.84;0.11;0.11;94.35
11519.12;395.14;0.11;0.1;92.63
11481.48;399.37;0.12;0.1;96.13
11701;428.3;0.12;0.1;93.24
11672.32;435.69;0.12;0.1;96.76
11895.23;475.68;0.12;0.08;91.32
11418.25;439.35;0.12;0.09;77.57
10197.46;383.69;0.1;0.08;82.25
10484.47;387.9;0.1;0.08;77.52
10177.79;334.47;0.09;0.08;80.2
10260.02;352.99;0.09;0.07;82.35
10359.45;351.88;0.09;0.08;84.02
10125.01;337.85;0.09;0.08;84.3
10230.15;351.23;0.09;0.08;85.36
10342.16;367.64;0.1;0.09;83.98
10378.22;373.91;0.1;0.08;86.75
10439.38;387.72;0.1;0.08;86.02
10328.87;365.7;0.1;0.08;91.72
10661.1;376.39;0.1;0.08;91.01
10787.58;364.69;0.09;0.08;88.2
10952.25;365.13;0.09;0.08;92.71
10938;388.8;0.09;0.08;92.4
10927.15;383.17;0.09;0.08;94.44
11084;385.47;0.09;0.07;92.71
10923.33;370.97;0.09;0.07;89.36
10439.52;341.28;0.08;0.07;92.63
10527.59;343.92;0.08;0.08;87.27
10223.78;321.08;0.08;0.08;91.72
10726.53;348.82;0.08;0.08;92.67
10681.99;351.33;0.1;0.08;94.59
10743.19;354.26;0.1;0.08;97.18
10765.3;357.07;0.1;0.09;95.15
10672.03;354.43;0.1;0.08;100.35
10837.52;359.43;0.1;0.08;107.64
10770.88;359.6;0.1;0.07;103.04
10627.98;353.2;0.1;0.07;101.73
10572.67;345.91;0.09;0.08;103.7
10546.66;345.99;0.09;0.08;105.7
10670.7;352.46;0.1;0.07;112.85
10784.95;353.6;0.1;0.07;106.75
10605.96;340.62;0.09;0.07;110.08
10668.01;341.44;0.09;0.08;110.74
10888.67;350.06;0.1;0.08;115.93
11063.25;365.34;0.1;0.08;115.98
11286.54;370.47;0.1;0.08;125.84
11377.81;374.5;0.11;0.08;130.28
11543.18;387.26;0.11;0.07;128.04
11426.11;381.17;0.11;0.07;128.94
11435.57;379.21;0.11;0.07;130.28
11495.58;377.16;0.11;0.07;120.43
11319.1;365.99;0.1;0.08;120.44
11365.81;368.65;0.11;0.07;124.55
11495.9;378.05;0.11;0.07;125.96
11752.15;379.64;0.11;0.08;118.4
11908.71;368.23;0.1;0.08;121.29
12806.44;391.17;0.11;0.07;127
12951.04;413.2;0.11;0.07;127.37
12928.07;408.89;0.11;0.07;129.02
13106.05;411.96;0.11;0.07;131.02
13021.41;406.16;0.11;0.07;132.3
13060.79;393.38;0.1;0.07;134.04
13655.19;403.53;0.1;0.07;126.26
13283;388.88;0.1;0.06;124.2
13441.88;386.45;0.1;0.07;123.35
13537.17;382.9;0.09;0.07;126.23
13778.64;385.84;0.09;0.06;126.67
13720.36;394.94;0.1;0.06;118.95
13558.36;383.85;0.09;0.06;120.98
13989.98;387.62;0.09;0.07;115.72
14101.72;401.73;0.1;0.08;119.62
15553.33;415.93;0.1;0.07;119.24
15548.31;454.65;0.11;0.09;111.03
14818.46;435.42;0.1;0.1;120.45
15496.32;455.36;0.11;0.09;115.89
15335.34;445.05;0.11;0.08;115.39
15278.71;449.82;0.11;0.08;113.21
15686.91;463.18;0.11;0.08;112.08
16265.15;462.21;0.1;0.08;114.11
16326.81;475.97;0.11;0.08;116.89
16095.56;462.72;0.1;0.08;114.72
15984.67;449.21;0.1;0.08;118.39
16714.4;461.37;0.1;0.08;125.43
17651.82;482.2;0.11;0.08;123.8
17829.93;479.44;0.11;0.08;118.41
17819.76;471.32;0.11;0.09;120.75
18628.81;508.79;0.12;0.09;128.03
18689.53;548.84;0.13;0.09;123.57
18390.61;560.51;0.15;0.09;129.77
18360.69;608.27;0.15;0.09;134.86
19091.52;602.67;0.17;0.08;128.1
18753.29;568.28;0.16;0.08;119.45
17138.03;518.47;0.14;0.08;117.31
17140.28;517.55;0.14;0.08;121.86
17718.97;537.39;0.16;0.09;123.87
18169.95;574.75;0.17;0.09;129.4
19609.52;612.26;0.17;0.09;126.3
18857.42;589.58;0.16;0.09;127.94
19208.4;598.76;0.16;0.08;132.78
19435.2;616.51;0.16;0.09;127.1
18711.23;571.19;0.15;0.09;133.43
19139.11;595.92;0.16;0.09;134.4
19325.55;601.97;0.16;0.08;138.94
19198.81;592.39;0.15;0.08;135.87
18336.51;554.33;0.14;0.08;132.97
18564.99;573.9;0.15;0.08;134.14
18262.06;560.45;0.14;0.08;141.65
18058.03;545.98;0.14;0.09;146.7
18807.1;568.36;0.14;0.09;151.81
19151.13;590.32;0.15;0.09;152.39
19259.97;585.54;0.16;0.09;151
19432.36;589.07;0.15;0.09;158.67
21317.66;635.96;0.17;0.09;160.66
22805.66;644.07;0.16;0.09;154.71
23120.57;654.42;0.16;0.09;154.81
23863.85;659.32;0.16;0.09;152.45
23518.32;639.52;0.16;0.09;146.13
22840.99;610.43;0.15;0.08;156.58
23794.79;634.98;0.16;0.08;151.53
23308.13;587.96;0.14;0.08;156.95
23760.29;612.88;0.15;0.08;159.37
24671.11;626.46;0.16;0.08;168.21
26476.13;636.74;0.16;0.08;157.48
26423.23;689.66;0.15;0.08;166.77
27125.38;732.96;0.18;0.08;162.04
27424.54;735.59;0.19;0.08;159.57
28837.29;752.86;0.18;0.08;156.72
29022.42;738.62;0.18;0.08;136
29352.13;730.15;0.18;0.08;143.48
32163.82;777.7;0.18;0.08;137.99
33008.23;967;0.21;0.08;130.88
31515.58;1025.65;0.22;0.09;136.97
34082.21;1103.36;0.26;0.13;142.31
36933.52;1208.58;0.33;0.12;143.32
39547.08;1229.47;0.3;0.12;142.53
40815.96;1223.73;0.31;0.11;147.78
40296.53;1282.98;0.33;0.09;186.55
38397.9;1267.73;0.31;0.11;159.34
35669.91;1092.91;0.28;0.11;157.72
33938.34;1045.41;0.29;0.11;172.09
37456.01;1132.02;0.31;0.11;163.78
39232.75;1216.91;0.31;0.11;157.39
36787.52;1171.86;0.3;0.11;156.11
36254.71;1234.63;0.35;0.12;159.41
35804.26;1229.38;0.38;0.12;156.39
36595.46;1255.98;0.37;0.14;157.29
36104.86;1383.48;0.37;0.12;153.4
35587.49;1385.85;0.38;0.16;130.69
30913.7;1122.91;0.31;0.19;136.18
32957.91;1236.68;0.35;0.17;138.71
32068.09;1231.18;0.35;0.16;137.9
32273.52;1392.54;0.35;0.17;137.53
32375.32;1323.43;0.34;0.15;137.89
32582.11;1355.23;0.34;0.16;125.84
30445.53;1253.14;0.31;0.15;135.44
33128.35;1328.77;0.34;0.16;140.35
34150.82;1380.28;0.35;0.15;138.9
34199.52;1372.43;0.36;0.15;137.96
33064.79;1317.05;0.35;0.17;143.34
33405.99;1368.66;0.4;0.18;151.14
35485.99;1514.23;0.43;0.17;154.74
37494.72;1661;0.44;0.22;148.3
36816.51;1587.8;0.44;0.23;154.48
38007.83;1724.86;0.54;0.23;152.43
39279.41;1683.94;0.63;0.24;150.07
38833.34;1608.64;0.66;0.24;162.75
46307.57;1751;0.69;0.25;169.02
46569.56;1769.05;0.71;0.28;175.33
44848.69;1739.16;0.92;0.3;190
47815.96;1782.51;0.93;0.34;201.22
47414.19;1841.2;0.92;0.31;239.78
46941.29;1810.84;0.9;0.3;230.52
48607.87;1804.98;0.85;0.29;227.38
47898.49;1775.76;0.86;0.3;221.37
49238.14;1782.58;0.87;0.31;272.08
52143.68;1845.57;0.89;0.33;262.04
51733.08;1938.57;0.91;0.3;284.11
56038.73;1969.98;0.93;0.31;257.69
56377.63;1929.37;1.13;0.27;249.07
57669.3;1941.43;1.1;0.23;225.9
54410.86;1788.62;1.1;0.25;219.24
48691.89;1563.92;0.96;0.26;206.56
49849.38;1628.39;1.06;0.25;196.92
46992.67;1468.86;1.08;0.25;204.93
46551.49;1450.99;1.25;0.24;211.02
46653.53;1480.13;1.34;0.27;217.58
44970.16;1416.66;1.3;0.28;230.11
49787.34;1570.4;1.3;0.35;220.92
48532.24;1497.09;1.23;0.42;220.33
50577.46;1579.43;1.22;0.38;218.25
48727.45;1546.5;1.12;0.36;206.89
49091.81;1539.05;1.16;0.4;205.1
49019.37;1661.93;1.13;0.49;209.09
51313.09;1727.46;1.14;0.55;221.07
52328.54;1837.53;1.12;0.48;225.32
54700.27;1869.33;1.19;0.52;220.53
56020.49;1802.31;1.14;0.66;221.27
57788.87;1826.06;1.13;0.95;222.53
57353.86;1770.94;1.04;1.03;238.46
61315.2;1927.72;1.1;1.06;235.16
59428.97;1866.07;1.06;0.9;222
55805.33;1791.05;1.03;1.07;229.94
56830.25;1808.55;1.25;0.98;237.36
59014.93;1828.75;1.38;0.96;229.31
57922.41;1780.16;1.24;0.91;232.81
58243.27;1817.13;1.3;0.98;232.77
58376.16;1817.86;1.21;0.92;232.55
57573.54;1790.38;1.19;0.86;217.97
54370.14;1686.89;1.11;0.85;218.66
54584.87;1673.86;1.13;0.82;211.23
52526.87;1581.63;1.06;0.89;215
51416.91;1587.3;1.1;0.92;221.74
55033.1;1700.37;1.21;1.13;221.22
55832.42;1713.84;1.18;1.09;231.89
55728.1;1689.04;1.19;1.08;234.12
57634.93;1817.63;1.2;1.02;243.73
58668.63;1840.29;1.21;1.01;246.69
58817.37;1915.83;1.19;1.04;249.6
58801.19;1970.47;1.18;0.94;256.93
59060.03;2134.1;1.19;1;257.05
57060.41;2016.67;1.17;1.01;264.01
58228.8;2077.76;1.18;0.96;264.69
58706.82;2097.8;1.21;0.94;270.88
58062.18;2115.06;1.26;0.99;259.08
56134.42;1989.15;1.18;1.04;269.49
58065.64;2081.35;1.23;1.01;274.33
58152.99;2069.67;1.2;1.08;293.12
59979.39;2142.8;1.22;1.14;326.82
59988.02;2150.27;1.26;1.12;316.15
59911.02;2142.48;1.32;1.09;328.25
63576.68;2304.34;1.42;1.24;320.54
62807.12;2429.66;1.46;1.28;343.24
63179.77;2514.17;1.48;1.51;341.28
61497.3;2424.55;1.41;1.36;363.62
60273.87;2345.27;1.37;1.31;339.67
56288.95;2245.76;1.28;1.39;354.18
55721.17;2168.03;1.19;1.34;399.97
56294.73;2324.28;1.26;1.26;386.32
54190.07;2373.5;1.21;1.23;349.88
51965.57;2426.07;1.15;1.11;354.43
51191.12;2364.23;1.16;1.09;380.87
50133.11;2212.84;1.11;1.23;355.66
48981.44;2307.36;1.08;1.3;401.89
53978.81;2532.39;1.23;1.55;401.4
54991.81;2647.16;1.31;1.46;417.19
54810.61;2748.78;1.33;1.49;407.44
53596.7;2757.5;1.32;1.47;422.01
57828.51;2776.7;1.35;1.41;426.13
57812.97;2944.92;1.35;1.41;405.37
56600.75;2953.3;1.33;1.27;413.05
57200.3;3439.86;1.36;1.42;380.23
53464.37;3245.66;1.28;1.54;417.48
57432.1;3524.56;1.48;1.47;422.16
56507.76;3495.08;1.66;1.44;458.35
57361.57;3493.53;1.65;1.49;475.55
58771.88;3912.74;1.62;1.33;479.61
58213.93;3932.75;1.77;1.43;442.14
55901.67;3979.61;1.65;1.27;453.25
56928.97;4182.79;1.77;1.26;400.54
50004.76;3906.11;1.57;1.29;403.21
49972.8;3750.34;1.94;1.2;412.89
49913.26;4088.73;2.01;1.18;382.84
46780.9;3659.92;2.17;1.06;391.93
46585.06;3602;2.29;1.13;339.53
43780.83;3288.23;2.03;0.79;342.18
43091.04;3399.05;2.01;0.95;205.45
37287.39;2505.01;1.52;0.81;282.3
40437.73;2778.28;1.79;0.76;255.68
37339.63;2419.1;1.55;0.63;231.77
37520.32;2306.37;1.47;0.77;228.8
34977.53;2120.04;1.33;0.78;254.96
38642.44;2640.16;1.54;1;245.65
38210.81;2695.48;1.55;0.89;268.02
39406.93;2882.48;1.78;0.81;251.64
38642.9;2742.99;1.65;0.75;262.63
35710.22;2433.33;1.52;0.78;243.46
34775.08;2294.63;1.42;0.85;260.93
35714.75;2395.85;1.58;0.83;272.94
37340.68;2708.43;1.74;0.86;266.03
36680.07;2632.66;1.74;0.88;293.64
37685.72;2717.15;1.76;0.82;310.16
39151.32;2858.28;1.84;0.81;287.06
36938.72;2694.5;1.71;0.82;263.14
35546.99;2624.77;1.66;0.74;271.86
35834.47;2711.55;1.68;0.71;248.6
33451.38;2580.54;1.55;0.74;254.1
33557.15;2528.02;1.58;0.7;274.61
37553.64;2620.63;1.62;0.69;255.34
36903.3;2486.6;1.53;0.67;243.48
37289.43;2356.63;1.44;0.69;244.2
35666.15;2379.99;1.48;0.71;261.56
39147.71;2517.77;1.57;0.72;275.73
40624.51;2587.38;1.57;0.7;280.84
40378.2;2561.19;1.57;0.69;262.05
38321.45;2365.87;1.48;0.65;276.78
38193.62;2380.74;1.49;0.63;264.61
35881.11;2231.55;1.42;0.62;272.02
35581.64;2176.31;1.39;0.47;264.28
35787.08;2251.56;1.43;0.44;204.24
31711.94;1900.12;1.18;0.5;202.29
32507.74;1875.36;1.15;0.53;218.71
33702.62;1971.11;1.25;0.49;223.91
34675.45;1990.08;1.36;0.47;199.03
31943.14;1833.46;1.28;0.49;202.01
32023.97;1817.05;1.25;0.51;211.7
34607.29;1973.93;1.34;0.55;213.2
34556.84;2087.52;1.33;0.58;217.73
35968.99;2169.4;1.37;0.55;222.42
35171.49;2279.35;1.39;0.54;207.47
33677.57;2121.66;1.34;0.56;210.97
33950.79;2157.88;1.4;0.58;214.98
34729.89;2228.53;1.41;0.55;220.42
35394.21;2329;1.46;0.61;215.75
33928.13;2217.3;1.41;0.74;221.83
34149.99;2320.65;1.41;0.66;215.63
33932.25;2317.24;1.4;0.7;205.98
32933.58;2126.44;1.35;0.76;213.72
33971.3;2156.58;1.36;0.74;210.7
33704.54;2123.06;1.34;0.69;211.99
34299.94;2144.01;1.35;0.65;207.04
33262.65;2042.5;1.32;0.71;203.05
32676.38;1944.4;1.26;0.66;203.34
32878.5;1997.66;1.26;0.61;195.57
31726.04;1910.73;1.23;0.6;192.89
31399.65;1874.2;1.17;0.62;198
31588.67;1899.84;1.18;0.57;200
31919.39;1905.72;1.19;0.52;190.23
30928.21;1824.93;1.13;0.58;183.85
29971.9;1794.97;1.06;0.59;197.78
32383.78;2003.72;1.18;0.68;197.84
32409.5;2027.53;1.19;0.72;203.36
33455.55;2117.15;1.2;0.72;208.45
34213.6;2183.63;1.23;0.69;214.58
35456.12;2209.5;1.24;0.7;217.38
37281.92;2230.21;1.26;0.69;225.78
39076.59;2292.58;1.27;0.71;234.1
40031.2;2299.69;1.28;0.71;241.29
39977.76;2383.44;1.29;0.72;242.6
41936.26;2462.4;1.31;0.69;241.75
41754.17;2541.67;1.33;0.69;235.49
39914.83;2555.41;1.31;0.7;233.39
39278.77;2611.67;1.31;0.73;226.5
38368.35;2521.27;1.37;0.73;245.02
